donor_id,preferred_categories,donation_range_min,donation_range_max,location,preferred_type
D578,Food,832,4332,Kolkata,NGO
D579,Food,817,2719,Delhi,NGO
D580,Health,949,3257,Chennai,Orphanage
D581,"Education,Food",771,4896,Delhi,NGO
D582,"Education,Arts",500,4300,Bangalore,Orphanage
D583,"Health,Food",548,2389,Bangalore,Orphanage
D584,Food,720,4427,Kolkata,Orphanage
D585,"Food,Health",934,3389,Bangalore,Orphanage
D586,"Health,Education",557,2148,Kolkata,NGO
D587,"Education,Food",753,4735,Bangalore,Orphanage
D588,"Health,Food",996,4252,Kolkata,NGO
D589,"Education,Shelter",986,3057,Chennai,Orphanage
D590,Food,634,4737,Bangalore,NGO
D591,Shelter,630,2292,Kolkata,Orphanage
D592,Food,853,2922,Kolkata,NGO
D593,"Food,Arts",839,2886,Mumbai,Orphanage
D594,Health,736,3940,Mumbai,NGO
D595,Health,631,2854,Kolkata,Orphanage
D596,Arts,664,2930,Mumbai,NGO
D597,"Health,Arts",881,4491,Delhi,Orphanage
D598,Health,540,4302,Mumbai,NGO
D599,Education,812,3017,Mumbai,NGO
D600,"Education,Arts",624,3279,Chennai,Orphanage
D601,"Education,Shelter",993,2863,Kolkata,NGO
D602,"Food,Arts",523,2375,Mumbai,NGO
D603,Shelter,628,4051,Bangalore,Orphanage
D604,Shelter,621,3956,Delhi,Orphanage
D605,"Education,Arts",580,2334,Bangalore,Orphanage
D606,"Health,Education",946,4307,Bangalore,Orphanage
D607,"Shelter,Health",627,3887,Mumbai,NGO
D608,"Food,Education",805,3792,Delhi,NGO
D609,"Food,Health",564,3237,Bangalore,Orphanage
D610,Health,856,3370,Mumbai,Orphanage
D611,Arts,700,4910,Chennai,Orphanage
D612,"Food,Health",840,3489,Bangalore,Orphanage
D613,Shelter,985,3886,Delhi,Orphanage
D614,Health,943,2011,Kolkata,Orphanage
D615,"Education,Arts",717,2672,Chennai,Orphanage
D616,Education,534,4659,Delhi,Orphanage
D617,"Health,Education",591,3941,Mumbai,Orphanage
D618,"Shelter,Food",863,2393,Bangalore,NGO
D619,Arts,691,2682,Delhi,NGO
D620,"Health,Arts",708,3488,Delhi,Orphanage
D621,Shelter,803,3801,Kolkata,Orphanage
D622,Arts,643,3929,Kolkata,Orphanage
D623,Health,747,3849,Mumbai,Orphanage
D624,Shelter,587,3947,Bangalore,Orphanage
D625,"Health,Arts",534,3322,Chennai,NGO
D626,"Shelter,Health",853,3808,Chennai,Orphanage
D627,Health,781,2895,Bangalore,Orphanage
D628,"Health,Food",926,4493,Kolkata,NGO
D629,Education,879,2101,Kolkata,Orphanage
D630,"Shelter,Food",542,3581,Kolkata,Orphanage
D631,Shelter,671,3972,Chennai,NGO
D632,Health,573,4652,Mumbai,Orphanage
D633,Arts,583,2728,Chennai,Orphanage
D634,Shelter,809,2428,Kolkata,NGO
D635,Food,542,2542,Mumbai,Orphanage
D636,Food,865,3962,Chennai,Orphanage
D637,Education,638,4230,Chennai,NGO
D638,"Shelter,Education",638,4867,Kolkata,Orphanage
D639,Education,868,2162,Bangalore,Orphanage
D640,"Shelter,Arts",546,3115,Delhi,NGO
D641,"Education,Arts",773,3091,Mumbai,NGO
D642,Food,751,3683,Delhi,Orphanage
D643,Shelter,767,2523,Mumbai,Orphanage
D644,Shelter,628,4676,Bangalore,NGO
D645,Food,515,2808,Kolkata,Orphanage
D646,"Arts,Education",719,3973,Mumbai,NGO
D647,Health,803,3160,Bangalore,Orphanage
D648,"Food,Health",894,3962,Bangalore,Orphanage
D649,"Arts,Shelter",594,4091,Delhi,NGO
D650,"Food,Education",837,3912,Delhi,NGO
D651,"Education,Food",878,3128,Mumbai,Orphanage
D652,"Shelter,Health",749,3602,Chennai,NGO
D653,"Arts,Health",766,3660,Kolkata,Orphanage
D654,"Food,Health",920,3726,Delhi,NGO
D655,"Shelter,Food",591,2997,Bangalore,Orphanage
D656,Education,716,3075,Kolkata,NGO
D657,"Arts,Shelter",514,4565,Bangalore,Orphanage
D658,Health,552,2718,Chennai,Orphanage
D659,"Arts,Food",644,3685,Chennai,Orphanage
D660,Shelter,732,3255,Delhi,Orphanage
D661,"Shelter,Arts",610,4180,Chennai,Orphanage
D662,Education,772,3066,Bangalore,NGO
D663,Education,675,3178,Bangalore,Orphanage
D664,"Education,Food",843,2816,Bangalore,NGO
D665,"Shelter,Health",630,4962,Delhi,NGO
D666,Health,795,4501,Kolkata,NGO
D667,Education,820,2485,Kolkata,NGO
D668,Food,950,2004,Kolkata,Orphanage
D669,Health,839,3443,Chennai,NGO
D670,"Arts,Food",685,3472,Kolkata,NGO
D671,Shelter,629,3282,Chennai,NGO
D672,Shelter,901,3324,Chennai,Orphanage
D673,"Education,Arts",889,2098,Bangalore,NGO
D674,"Shelter,Education",505,2980,Delhi,NGO
D675,"Food,Health",868,3023,Mumbai,Orphanage
D676,"Food,Education",876,2654,Chennai,Orphanage
D677,Shelter,831,2898,Delhi,NGO
D678,"Shelter,Arts",795,4192,Kolkata,NGO
D679,Food,593,4480,Bangalore,Orphanage
D680,Shelter,885,2534,Bangalore,NGO
D681,Education,760,2836,Mumbai,NGO
D682,Shelter,734,3259,Kolkata,NGO
D683,"Health,Shelter",776,2626,Kolkata,NGO
D684,"Education,Shelter",929,2724,Delhi,Orphanage
D685,"Health,Education",680,4394,Kolkata,Orphanage
D686,Shelter,928,3361,Mumbai,NGO
D687,Education,743,4263,Bangalore,Orphanage
D688,"Shelter,Food",525,4573,Bangalore,Orphanage
D689,"Food,Education",527,4000,Mumbai,Orphanage
D690,Education,867,4913,Bangalore,NGO
D691,"Education,Arts",584,4914,Mumbai,NGO
D692,Shelter,956,4796,Chennai,Orphanage
D693,Health,992,3153,Kolkata,NGO
D694,Food,650,2963,Delhi,NGO
D695,Shelter,894,4930,Kolkata,NGO
D696,"Food,Arts",788,4632,Chennai,NGO
D697,"Health,Food",626,2489,Bangalore,Orphanage
D698,Arts,759,2100,Mumbai,NGO
D699,Food,828,3103,Delhi,Orphanage
D700,"Education,Shelter",507,3050,Bangalore,Orphanage
D701,Arts,856,3287,Delhi,NGO
D702,Health,663,3207,Delhi,Orphanage
D703,Arts,773,3885,Chennai,Orphanage
D704,"Shelter,Arts",941,2617,Kolkata,NGO
D705,Health,927,2961,Mumbai,Orphanage
D706,Education,984,4489,Mumbai,Orphanage
D707,Food,684,2478,Bangalore,Orphanage
D708,Food,674,2637,Bangalore,Orphanage
D709,"Shelter,Education",601,3276,Mumbai,Orphanage
D710,Arts,954,2116,Kolkata,Orphanage
D711,"Shelter,Health",587,4709,Delhi,NGO
D712,Arts,720,4434,Chennai,NGO
D713,"Food,Education",751,3873,Bangalore,Orphanage
D714,"Arts,Food",607,3165,Bangalore,NGO
D715,"Shelter,Education",577,4733,Kolkata,Orphanage
D716,Arts,883,2988,Kolkata,NGO
D717,"Arts,Education",766,4811,Chennai,NGO
D718,"Shelter,Education",850,4829,Mumbai,Orphanage
D719,Health,778,2544,Bangalore,Orphanage
D720,Health,988,4783,Delhi,Orphanage
D721,"Arts,Food",504,4675,Mumbai,Orphanage
D722,Shelter,617,2862,Delhi,Orphanage
D723,"Food,Health",829,2214,Bangalore,Orphanage
D724,"Health,Shelter",903,2081,Bangalore,Orphanage
D725,Shelter,831,3331,Kolkata,Orphanage
D726,Food,937,3947,Kolkata,NGO
D727,"Food,Health",887,3588,Mumbai,Orphanage
D728,Education,997,2751,Delhi,Orphanage
D729,Education,967,3056,Chennai,Orphanage
D730,Shelter,923,3851,Kolkata,Orphanage
D731,"Education,Food",525,3510,Bangalore,Orphanage
D732,"Arts,Health",528,2824,Kolkata,Orphanage
D733,"Shelter,Arts",880,2475,Delhi,NGO
D734,"Food,Arts",645,4169,Delhi,NGO
D735,"Education,Health",662,3536,Delhi,NGO
D736,Arts,675,4772,Chennai,NGO
D737,"Health,Food",685,3895,Chennai,Orphanage
D738,Health,730,2977,Delhi,Orphanage
D739,"Education,Arts",631,2386,Mumbai,Orphanage
D740,Shelter,577,3234,Mumbai,Orphanage
D741,Education,856,3835,Kolkata,NGO
D742,"Health,Arts",877,3964,Bangalore,NGO
D743,"Food,Shelter",616,2418,Chennai,NGO
D744,Arts,808,4653,Kolkata,Orphanage
D745,Shelter,586,4458,Mumbai,Orphanage
D746,Education,964,2670,Bangalore,Orphanage
D747,Shelter,935,4741,Bangalore,NGO
D748,"Health,Food",950,4714,Chennai,NGO
D749,Arts,957,4464,Kolkata,NGO
D750,Health,837,4968,Kolkata,Orphanage
D751,Education,642,3413,Bangalore,Orphanage
D752,Health,885,4469,Chennai,NGO
D753,"Food,Shelter",801,2936,Delhi,Orphanage
D754,"Arts,Food",569,3484,Chennai,Orphanage
D755,Health,591,3151,Mumbai,Orphanage
D756,Food,856,3202,Kolkata,Orphanage
D757,Arts,719,2598,Kolkata,Orphanage
D758,Arts,708,4587,Chennai,NGO
D759,"Education,Food",515,4812,Bangalore,Orphanage
D760,"Arts,Food",751,3700,Delhi,NGO
D761,Arts,724,2923,Kolkata,Orphanage
D762,"Health,Food",753,3919,Bangalore,Orphanage
D763,Food,645,4529,Mumbai,NGO
D764,"Food,Health",712,4049,Mumbai,NGO
D765,"Health,Shelter",938,2844,Kolkata,NGO
D766,Shelter,766,2075,Mumbai,Orphanage
D767,Shelter,978,2202,Kolkata,NGO
D768,"Education,Food",788,3478,Bangalore,Orphanage
D769,"Health,Shelter",848,2571,Bangalore,Orphanage
D770,Education,837,2198,Bangalore,Orphanage
D771,Arts,596,2917,Chennai,Orphanage
D772,"Shelter,Health",864,2556,Chennai,NGO
D773,Arts,991,2463,Bangalore,NGO
D774,Education,995,2569,Delhi,Orphanage
D775,Shelter,599,3049,Mumbai,Orphanage
D776,Shelter,764,2390,Mumbai,Orphanage
D777,"Food,Shelter",738,2777,Chennai,NGO
D778,Shelter,790,4965,Bangalore,Orphanage
D779,Shelter,748,3023,Mumbai,Orphanage
D780,Education,616,3622,Mumbai,Orphanage
D781,Health,969,4260,Bangalore,NGO
D782,Arts,924,4669,Bangalore,Orphanage
D783,"Arts,Food",647,3518,Mumbai,NGO
D784,"Health,Shelter",844,2366,Mumbai,Orphanage
D785,"Health,Food",601,2943,Kolkata,NGO
D786,Food,598,3220,Kolkata,Orphanage
D787,"Arts,Education",555,2089,Kolkata,NGO
D788,Education,906,3708,Mumbai,Orphanage
D789,Arts,820,2165,Chennai,Orphanage
D790,Arts,824,4593,Bangalore,Orphanage
D791,Health,957,3083,Delhi,Orphanage
D792,Health,884,3456,Kolkata,NGO
D793,Education,939,4971,Mumbai,NGO
D794,"Shelter,Health",848,4139,Mumbai,NGO
D795,"Education,Shelter",587,2482,Mumbai,Orphanage
D796,Shelter,964,2672,Bangalore,Orphanage
D797,"Arts,Food",567,4612,Delhi,Orphanage
D798,"Shelter,Food",915,4468,Delhi,NGO
D799,Shelter,713,4963,Delhi,Orphanage
D800,Health,629,2597,Kolkata,NGO
D801,Shelter,755,2859,Mumbai,NGO
D802,Shelter,929,2752,Bangalore,NGO
D803,"Arts,Shelter",705,3199,Chennai,NGO
D804,"Health,Education",850,3341,Mumbai,Orphanage
D805,"Shelter,Education",577,2512,Mumbai,Orphanage
D806,Health,623,3404,Mumbai,NGO
D807,"Health,Arts",596,3480,Mumbai,NGO
D808,"Education,Arts",566,3721,Mumbai,NGO
D809,"Health,Arts",668,4517,Chennai,NGO
D810,Shelter,643,3874,Bangalore,NGO
D811,Food,548,4001,Chennai,Orphanage
D812,"Education,Shelter",799,4816,Bangalore,NGO
D813,Food,956,4846,Bangalore,Orphanage
D814,"Health,Education",919,2291,Mumbai,NGO
D815,Shelter,588,3171,Kolkata,Orphanage
D816,Food,875,4863,Mumbai,NGO
D817,Arts,725,2114,Delhi,NGO
D818,Food,557,4679,Bangalore,Orphanage
D819,"Education,Shelter",570,4019,Delhi,Orphanage
D820,Education,574,4379,Delhi,Orphanage
D821,Health,612,2054,Mumbai,Orphanage
D822,Arts,757,4131,Mumbai,Orphanage
D823,Education,576,4802,Chennai,Orphanage
D824,"Food,Arts",951,3408,Bangalore,Orphanage
D825,Health,693,2128,Chennai,Orphanage
D826,"Education,Shelter",922,2075,Kolkata,Orphanage
D827,Education,517,4538,Chennai,NGO
D828,"Arts,Health",570,3455,Bangalore,NGO
D829,Food,980,3220,Kolkata,NGO
D830,"Education,Health",516,2133,Bangalore,NGO
D831,"Food,Arts",876,2952,Kolkata,NGO
D832,"Education,Health",920,3940,Kolkata,Orphanage
D833,"Shelter,Education",635,3424,Chennai,NGO
D834,"Education,Health",776,3945,Bangalore,Orphanage
D835,Education,555,3537,Delhi,Orphanage
D836,Education,665,3517,Delhi,Orphanage
D837,Shelter,524,3238,Mumbai,Orphanage
D838,"Education,Health",786,3809,Delhi,NGO
D839,"Shelter,Arts",565,2850,Chennai,NGO
D840,Arts,743,3998,Bangalore,Orphanage
D841,"Shelter,Arts",742,3057,Delhi,NGO
D842,"Food,Health",987,4287,Chennai,NGO
D843,Arts,511,4032,Kolkata,Orphanage
D844,"Education,Food",882,3245,Chennai,Orphanage
D845,Food,512,2602,Delhi,Orphanage
D846,"Food,Education",660,3990,Delhi,NGO
D847,"Health,Arts",665,4956,Kolkata,Orphanage
D848,Shelter,577,4403,Chennai,Orphanage
D849,"Education,Food",747,4072,Bangalore,Orphanage
D850,"Shelter,Arts",605,3637,Kolkata,NGO
D851,Food,842,2318,Delhi,Orphanage
D852,Health,721,4490,Kolkata,NGO
D853,"Shelter,Food",743,2210,Kolkata,Orphanage
D854,Food,551,3508,Mumbai,NGO
D855,Health,747,4446,Chennai,Orphanage
D856,Food,809,4036,Kolkata,NGO
D857,Arts,948,4196,Mumbai,NGO
D858,Arts,646,4828,Kolkata,NGO
D859,"Education,Arts",962,2516,Bangalore,Orphanage
D860,Education,777,2923,Kolkata,NGO
D861,"Shelter,Health",821,2421,Mumbai,Orphanage
D862,"Arts,Food",975,2300,Kolkata,NGO
D863,Health,529,3229,Delhi,NGO
D864,Education,750,2821,Chennai,NGO
D865,Food,932,3821,Chennai,Orphanage
D866,Shelter,603,3910,Chennai,NGO
D867,Arts,796,4100,Kolkata,Orphanage
D868,Education,828,2467,Delhi,NGO
D869,Shelter,823,4610,Bangalore,Orphanage
D870,Arts,871,3885,Chennai,Orphanage
D871,"Shelter,Education",515,4316,Delhi,NGO
D872,"Education,Arts",541,4560,Chennai,NGO
D873,"Education,Arts",887,4269,Chennai,NGO
D874,Health,730,2489,Mumbai,Orphanage
D875,"Shelter,Health",540,2220,Delhi,Orphanage
D876,"Health,Shelter",734,3854,Chennai,Orphanage
D877,Arts,691,3670,Kolkata,Orphanage
D878,Health,731,2943,Delhi,Orphanage
D879,Education,755,3157,Bangalore,NGO
D880,"Education,Shelter",705,3837,Delhi,NGO
D881,"Food,Arts",677,4470,Bangalore,Orphanage
D882,Shelter,683,4952,Bangalore,Orphanage
D883,Health,995,3201,Mumbai,NGO
D884,Education,891,3573,Delhi,Orphanage
D885,Health,985,4295,Mumbai,Orphanage
D886,Health,709,2379,Chennai,Orphanage
D887,Education,508,2976,Delhi,Orphanage
D888,"Health,Shelter",736,4929,Bangalore,NGO
D889,"Arts,Food",701,4213,Delhi,Orphanage
D890,Shelter,906,2145,Bangalore,NGO
D891,Arts,791,3103,Delhi,Orphanage
D892,Arts,611,4343,Kolkata,Orphanage
D893,"Arts,Education",534,4390,Mumbai,NGO
D894,"Food,Education",613,3449,Bangalore,NGO
D895,"Education,Health",972,4832,Kolkata,NGO
D896,"Health,Food",832,3535,Kolkata,NGO
D897,"Food,Arts",550,3487,Bangalore,NGO
D898,"Shelter,Education",504,3768,Mumbai,NGO
D899,"Food,Arts",761,4128,Bangalore,NGO
D900,"Shelter,Health",983,3369,Delhi,NGO
D901,Shelter,747,2650,Bangalore,Orphanage
D902,"Shelter,Education",870,3257,Mumbai,Orphanage
D903,Food,636,3717,Mumbai,NGO
D904,Education,586,2618,Mumbai,Orphanage
D905,"Shelter,Health",783,2338,Bangalore,NGO
D906,"Food,Health",588,2098,Mumbai,NGO
D907,Food,502,3875,Kolkata,Orphanage
D908,Arts,566,4697,Chennai,Orphanage
D909,Health,829,2228,Mumbai,Orphanage
D910,"Health,Shelter",665,3857,Bangalore,NGO
D911,Education,889,3580,Bangalore,NGO
D912,Shelter,514,2351,Bangalore,NGO
D913,Shelter,558,2199,Kolkata,Orphanage
D914,"Food,Shelter",834,3671,Kolkata,NGO
D915,"Health,Shelter",796,2592,Chennai,Orphanage
D916,"Shelter,Education",534,2899,Chennai,NGO
D917,Arts,522,2464,Kolkata,NGO
D918,Health,719,2604,Bangalore,Orphanage
D919,Education,631,2937,Bangalore,Orphanage
D920,Arts,601,4342,Chennai,Orphanage
D921,Health,936,4728,Chennai,Orphanage
D922,Arts,751,2259,Chennai,Orphanage
D923,"Health,Food",736,2495,Bangalore,NGO
D924,Food,847,2599,Chennai,Orphanage
D925,Arts,630,2726,Delhi,NGO
D926,Arts,982,3622,Chennai,NGO
D927,Arts,593,4514,Chennai,Orphanage
D928,Shelter,694,2508,Mumbai,NGO
D929,Education,713,3154,Mumbai,NGO
D930,"Shelter,Arts",796,2281,Bangalore,Orphanage
D931,Shelter,767,2552,Delhi,Orphanage
D932,Arts,996,2553,Mumbai,Orphanage
D933,Health,997,2065,Mumbai,Orphanage
D934,Education,741,4220,Delhi,Orphanage
D935,Food,954,2176,Kolkata,Orphanage
D936,Health,710,2488,Mumbai,NGO
D937,Education,508,4817,Delhi,Orphanage
D938,Shelter,721,3485,Delhi,Orphanage
D939,Food,768,2564,Chennai,Orphanage
D940,"Health,Food",817,3101,Chennai,NGO
D941,"Education,Food",625,4659,Delhi,Orphanage
D942,"Shelter,Health",582,3474,Chennai,Orphanage
D943,"Health,Food",818,2680,Mumbai,NGO
D944,Shelter,682,3747,Mumbai,Orphanage
D945,Shelter,857,2939,Kolkata,NGO
D946,"Health,Arts",939,4550,Kolkata,Orphanage
D947,Health,707,2249,Mumbai,NGO
D948,"Food,Education",693,2517,Bangalore,NGO
D949,"Shelter,Education",818,3196,Bangalore,Orphanage
D950,Shelter,731,4596,Bangalore,NGO
D951,Health,855,2088,Bangalore,Orphanage
D952,Health,641,3685,Chennai,NGO
D953,Arts,559,2159,Bangalore,Orphanage
D954,"Education,Food",747,4097,Bangalore,NGO
D955,Education,635,2653,Bangalore,NGO
D956,"Health,Food",890,2106,Delhi,Orphanage
D957,Food,524,2746,Chennai,NGO
D958,Education,538,4109,Delhi,NGO
D959,Health,737,2274,Chennai,NGO
D960,Shelter,942,2139,Kolkata,Orphanage
D961,"Health,Education",508,2505,Kolkata,NGO
D962,Food,951,2762,Mumbai,NGO
D963,"Shelter,Education",823,2580,Bangalore,Orphanage
D964,Arts,935,3576,Delhi,Orphanage
D965,Education,872,2755,Kolkata,Orphanage
D966,Health,774,2420,Kolkata,NGO
D967,Education,757,2725,Chennai,NGO
D968,"Food,Education",658,4199,Chennai,NGO
D969,"Education,Health",591,2395,Bangalore,Orphanage
D970,"Shelter,Arts",642,4895,Chennai,Orphanage
D971,"Health,Education",675,2166,Kolkata,NGO
D972,"Shelter,Education",552,2943,Delhi,Orphanage
D973,"Shelter,Education",730,4614,Kolkata,Orphanage
D974,"Arts,Health",863,4172,Mumbai,Orphanage
D975,Shelter,956,4093,Mumbai,Orphanage
D976,"Health,Food",720,3670,Bangalore,NGO
D977,Health,728,3588,Delhi,Orphanage
D978,"Health,Food",548,3695,Delhi,Orphanage
D979,"Education,Shelter",882,2466,Delhi,Orphanage
D980,"Education,Arts",836,3628,Delhi,Orphanage
D981,Arts,563,2181,Mumbai,NGO
D982,Arts,851,4604,Chennai,Orphanage
D983,Education,797,4440,Chennai,NGO
D984,Arts,689,2229,Mumbai,Orphanage
D985,"Food,Education",623,3841,Kolkata,Orphanage
D986,"Food,Shelter",970,3239,Bangalore,Orphanage
D987,Food,839,2616,Mumbai,NGO
D988,Arts,986,3889,Bangalore,Orphanage
D989,"Health,Arts",781,4449,Chennai,Orphanage
D990,"Food,Health",579,2988,Chennai,Orphanage
D991,"Shelter,Health",600,2480,Delhi,NGO
D992,"Health,Education",989,4701,Chennai,Orphanage
D993,Education,991,3943,Delhi,Orphanage
D994,"Shelter,Health",765,4468,Delhi,NGO
D995,Education,701,3561,Chennai,Orphanage
D996,Health,788,2308,Delhi,NGO
D997,Arts,705,2353,Mumbai,Orphanage
D998,"Education,Health",930,2311,Kolkata,NGO
D999,Shelter,556,3084,Bangalore,Orphanage
D1000,Health,718,4290,Mumbai,Orphanage
D1001,Arts,633,3293,Mumbai,NGO
D1002,Shelter,603,4327,Bangalore,NGO
D1003,Education,866,2558,Mumbai,NGO
D1004,"Arts,Health",719,2537,Chennai,NGO
D1005,"Education,Shelter",914,3440,Mumbai,NGO
D1006,Shelter,533,4760,Mumbai,Orphanage
D1007,"Arts,Shelter",758,3746,Kolkata,Orphanage
D1008,Health,877,4308,Mumbai,Orphanage
D1009,Food,544,2260,Mumbai,NGO
D1010,"Arts,Food",507,3426,Bangalore,Orphanage
D1011,Shelter,733,3097,Kolkata,Orphanage
D1012,"Health,Food",700,2311,Kolkata,Orphanage
D1013,"Arts,Food",580,2084,Bangalore,Orphanage
D1014,Arts,533,4118,Delhi,NGO
D1015,Shelter,784,3057,Mumbai,NGO
D1016,Shelter,549,2178,Mumbai,NGO
D1017,"Shelter,Arts",829,2685,Bangalore,NGO
D1018,Food,804,3928,Bangalore,NGO
D1019,Arts,556,4579,Chennai,NGO
D1020,Shelter,896,4452,Kolkata,NGO
D1021,Health,752,4731,Bangalore,Orphanage
D1022,Education,529,2794,Bangalore,Orphanage
D1023,"Arts,Education",696,4542,Mumbai,NGO
D1024,"Health,Food",772,4625,Mumbai,Orphanage
D1025,Food,991,2030,Chennai,NGO
D1026,"Shelter,Health",973,2752,Mumbai,NGO
D1027,"Education,Food",801,3182,Mumbai,NGO
D1028,"Shelter,Education",621,3858,Chennai,Orphanage
D1029,Education,952,2970,Delhi,Orphanage
D1030,"Arts,Shelter",580,3947,Kolkata,NGO
D1031,Shelter,768,3441,Bangalore,NGO
D1032,"Food,Shelter",840,4287,Kolkata,NGO
D1033,Shelter,700,4774,Chennai,Orphanage
D1034,Shelter,532,2443,Delhi,Orphanage
D1035,"Education,Shelter",842,4867,Delhi,Orphanage
D1036,"Arts,Food",802,3408,Kolkata,Orphanage
D1037,"Shelter,Health",717,4882,Delhi,Orphanage
D1038,Arts,953,4208,Bangalore,Orphanage
D1039,Food,996,2289,Mumbai,NGO
D1040,Shelter,933,2944,Kolkata,Orphanage
D1041,"Education,Health",512,3868,Kolkata,NGO
D1042,Arts,649,4836,Mumbai,Orphanage
D1043,Education,657,4610,Mumbai,Orphanage
D1044,Arts,798,2001,Bangalore,Orphanage
D1045,"Food,Shelter",542,2091,Chennai,NGO
D1046,"Food,Shelter",932,2240,Bangalore,Orphanage
D1047,Education,904,2885,Kolkata,Orphanage
D1048,"Shelter,Education",620,2547,Delhi,NGO
D1049,"Arts,Food",626,3047,Kolkata,Orphanage
D1050,"Health,Food",736,3094,Bangalore,NGO
D1051,"Education,Food",606,2573,Chennai,Orphanage
D1052,"Shelter,Health",909,4638,Kolkata,Orphanage
D1053,Shelter,630,4927,Chennai,NGO
D1054,Shelter,755,3020,Bangalore,Orphanage
D1055,"Food,Education",795,4586,Delhi,NGO
D1056,"Shelter,Health",501,3449,Kolkata,NGO
D1057,Health,988,4913,Kolkata,Orphanage
D1058,"Arts,Food",813,3651,Bangalore,NGO
D1059,"Arts,Health",937,3447,Kolkata,Orphanage
D1060,"Food,Health",743,4504,Mumbai,Orphanage
D1061,"Arts,Education",936,3434,Kolkata,Orphanage
D1062,"Shelter,Food",583,3253,Bangalore,NGO
D1063,Health,823,3938,Kolkata,NGO
D1064,"Arts,Food",838,3322,Bangalore,Orphanage
D1065,Arts,941,3893,Kolkata,NGO
D1066,"Health,Arts",977,3841,Delhi,NGO
D1067,Education,829,4187,Bangalore,NGO
D1068,"Shelter,Food",960,3707,Bangalore,Orphanage
D1069,"Health,Education",610,4742,Chennai,NGO
D1070,Shelter,913,2204,Kolkata,Orphanage
D1071,"Education,Shelter",636,3261,Kolkata,Orphanage
D1072,Food,736,4404,Delhi,Orphanage
D1073,"Health,Shelter",962,2574,Bangalore,NGO
D1074,Food,875,2594,Delhi,Orphanage
D1075,"Education,Arts",631,3399,Delhi,NGO
D1076,Health,628,3839,Kolkata,Orphanage
D1077,"Shelter,Education",564,2644,Kolkata,Orphanage
D1078,Education,706,2220,Delhi,Orphanage
D1079,"Food,Health",775,4277,Kolkata,NGO
D1080,Food,609,4694,Chennai,Orphanage
D1081,"Arts,Food",715,3504,Mumbai,NGO
D1082,"Education,Food",555,2999,Delhi,Orphanage
D1083,Education,508,2285,Delhi,NGO
D1084,"Shelter,Food",933,4313,Kolkata,NGO
D1085,"Food,Education",625,3295,Chennai,NGO
D1086,"Education,Health",716,2063,Chennai,Orphanage
D1087,Arts,598,2652,Mumbai,Orphanage
D1088,Food,662,4964,Bangalore,Orphanage
D1089,"Food,Shelter",535,3529,Bangalore,NGO
D1090,"Food,Arts",870,3476,Bangalore,NGO
D1091,Health,816,3429,Chennai,NGO
D1092,Education,598,4598,Bangalore,Orphanage
D1093,"Shelter,Arts",945,3167,Bangalore,Orphanage
D1094,Education,949,2785,Chennai,Orphanage
D1095,"Health,Arts",733,3801,Mumbai,Orphanage
D1096,Food,613,2935,Kolkata,NGO
D1097,Education,690,4137,Delhi,Orphanage
D1098,"Shelter,Arts",946,4042,Delhi,NGO
D1099,"Shelter,Arts",975,3811,Delhi,Orphanage
D1100,"Health,Shelter",547,2073,Chennai,Orphanage
D1101,"Health,Arts",671,3025,Kolkata,Orphanage
D1102,Food,579,4239,Delhi,Orphanage
D1103,"Food,Health",580,3039,Chennai,NGO
D1104,"Education,Shelter",615,3337,Chennai,NGO
D1105,"Food,Arts",636,3825,Mumbai,Orphanage
D1106,"Arts,Shelter",685,3576,Chennai,NGO
D1107,Health,842,4746,Chennai,NGO
D1108,Health,667,3400,Mumbai,NGO
D1109,Health,795,3719,Kolkata,NGO
D1110,"Shelter,Education",947,4260,Kolkata,Orphanage
D1111,Arts,827,3394,Chennai,Orphanage
D1112,"Food,Health",562,2988,Kolkata,NGO
D1113,"Shelter,Education",957,2528,Chennai,NGO
D1114,"Education,Health",910,4634,Bangalore,NGO
D1115,Education,898,3593,Bangalore,Orphanage
D1116,"Shelter,Health",848,4029,Mumbai,Orphanage
D1117,Education,667,3128,Bangalore,Orphanage
D1118,Food,680,4265,Bangalore,Orphanage
D1119,Health,504,4142,Delhi,Orphanage
D1120,Education,758,4209,Delhi,Orphanage
D1121,"Food,Arts",543,2349,Chennai,Orphanage
D1122,Arts,738,4015,Bangalore,Orphanage
D1123,"Arts,Shelter",592,4627,Delhi,NGO
D1124,Education,829,2085,Kolkata,NGO
D1125,Health,926,3841,Chennai,NGO
D1126,Education,515,3495,Bangalore,NGO
D1127,Shelter,714,4089,Delhi,Orphanage
D1128,Education,768,2333,Kolkata,Orphanage
D1129,Education,832,2838,Kolkata,NGO
D1130,Health,534,4982,Mumbai,NGO
D1131,"Education,Food",906,2386,Mumbai,Orphanage
D1132,"Arts,Shelter",629,3554,Bangalore,NGO
D1133,"Education,Arts",909,4274,Kolkata,Orphanage
D1134,"Arts,Education",1000,2072,Chennai,Orphanage
D1135,"Food,Shelter",941,2643,Chennai,NGO
D1136,Education,626,4197,Bangalore,Orphanage
D1137,"Education,Food",608,2432,Delhi,Orphanage
D1138,"Health,Education",548,2074,Bangalore,NGO
D1139,Health,612,3047,Delhi,Orphanage
D1140,Education,701,2735,Bangalore,NGO
D1141,Food,977,4299,Kolkata,NGO
D1142,"Food,Education",786,4747,Kolkata,NGO
